epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1559,1.07794,0.95992,1.03652,0.83159,0.75442,0.81115,0.54379,0.95662,0.97675,1.01204,0.000652174,0.000652174,0.000652174
2,65.9232,1.02789,0.6247,0.99655,0.89727,0.82811,0.88842,0.6419,0.94235,0.765,1.01587,0.0012318,0.0012318,0.0012318
3,98.0563,1.02877,0.63114,1.00934,0.90366,0.88814,0.93754,0.68136,0.92629,0.84219,1.03571,0.00172342,0.00172342,0.00172342
4,131.782,1.01172,0.59974,0.99267,0.90784,0.87276,0.92385,0.67526,0.93834,0.63805,1.0158,0.001604,0.001604,0.001604
5,166.406,0.98056,0.5645,0.98039,0.92094,0.88069,0.93448,0.6986,0.89526,0.58087,1.00085,0.001472,0.001472,0.001472
6,200.63,0.91285,0.54507,0.98755,0.90085,0.89911,0.93796,0.67769,0.89667,0.6366,1.00604,0.00134,0.00134,0.00134
7,234.575,0.9539,0.53636,0.99438,0.89994,0.88208,0.93175,0.69264,0.8956,0.59777,1.01261,0.001208,0.001208,0.001208
8,268.078,0.90195,0.49963,0.97138,0.91351,0.88778,0.93572,0.69682,0.91834,0.56169,1.02878,0.001076,0.001076,0.001076
9,301.38,0.86804,0.48839,0.96193,0.92313,0.92492,0.95042,0.72658,0.84426,0.51687,0.99321,0.000944,0.000944,0.000944
10,335.093,0.82756,0.45651,0.94731,0.92642,0.92758,0.9558,0.74175,0.81252,0.50279,0.97351,0.000812,0.000812,0.000812
11,368.93,0.80382,0.43744,0.93724,0.93349,0.91759,0.95606,0.74509,0.81834,0.50026,0.97331,0.00068,0.00068,0.00068
12,402.619,0.78815,0.42829,0.93109,0.93572,0.91014,0.95759,0.75925,0.78989,0.49432,0.96211,0.000548,0.000548,0.000548
13,436.35,0.756,0.40259,0.92251,0.92918,0.93529,0.95534,0.7658,0.76964,0.46904,0.95753,0.000416,0.000416,0.000416
14,470.28,0.73994,0.39493,0.91166,0.94051,0.9406,0.95877,0.77303,0.75311,0.43739,0.94646,0.000284,0.000284,0.000284
15,504.111,0.72024,0.37634,0.90179,0.93593,0.93982,0.9607,0.77593,0.75879,0.43725,0.94623,0.000152,0.000152,0.000152
